Column1,Column2,Column3,Column4,Column5,Column6,Column7
0.241821233,1.927258483,1.9142337,0.230089497,0.156960754,1.724904089,0
0.306228564,1.951486294,1.933939319,0.269529268,0.185837534,1.701841814,0
0.417140186,1.94722659,1.91847182,0.297566789,0.162509986,1.596472372,0
0.433322397,1.951465514,1.919637633,0.314752226,0.171732674,1.575089011,0
0.449565862,1.936579995,1.927210188,0.342454085,0.182626224,1.572896144,0
0.46701749,1.936231284,1.922687437,0.329576229,0.182815999,1.560079519,0
0.467701542,1.969723636,1.926823344,0.339641754,0.180058864,1.58446694,0
0.467928312,1.944535248,1.929603817,0.313293944,0.186829686,1.560060967,0
0.468504838,1.940817842,1.941232174,0.345167532,0.194861612,1.570293066,0
0.469412777,1.942909242,1.913891421,0.348304476,0.185900583,1.546835846,0
0.475150911,1.966683222,1.934477641,0.355564062,0.210421304,1.57411351,0
0.482539645,1.942371923,1.92482995,0.326623767,0.187634052,1.550034937,0
0.485375521,1.978166213,1.937736395,0.313810703,0.181645049,1.58342016,0
0.495593623,1.92590914,1.923120607,0.381585324,0.260178126,1.534227214,0
0.49667039,1.940910719,1.922285983,0.337711223,0.208192192,1.535214502,0
0.497299809,1.961559019,1.92781642,0.356224678,0.203562469,1.574992105,0
0.543333908,1.926938404,1.908391886,0.36811772,0.245975073,1.4634584,0
0.546453916,1.91420651,1.925312842,0.409221848,0.277311596,1.465691295,0
0.548118511,1.947711028,1.926521203,0.383715375,0.267948419,1.476711511,0
0.548489584,1.921585433,1.914768411,0.36844198,0.243798109,1.451107095,0
0.592359418,1.946070043,2.025197148,1.830737945,1.506333013,1.434203438,0
0.604884316,1.941079946,1.921581152,0.46193001,0.352507786,1.427711571,0
0.605769195,1.927892226,1.932773994,0.414763935,0.320084682,1.409264455,0
0.619715473,1.943534523,2.003044212,1.806765555,1.473798737,1.385326138,0
0.647407465,1.940922313,1.943063161,0.414301557,0.317754789,1.372244576,0
0.648735684,1.968408031,2.026543535,1.808101427,1.49022952,1.41904314,0
0.650162397,1.955683606,1.974608153,1.778548942,0.387893439,1.510831487,0
0.654492818,1.996828263,2.03071927,1.811015169,1.524176239,1.418584532,0
0.658559546,1.939816125,2.024116947,1.83044133,1.495341742,1.400954426,0
0.666541577,1.858124496,1.912889527,1.725022772,0.318665722,1.260937142,0
0.669435421,1.931563343,1.950552556,0.396285047,0.299774026,1.362798085,0
0.670839584,1.853501148,1.91825354,1.739830981,0.369536571,1.297186478,0
0.673022442,1.856157186,1.912122684,1.720317031,0.281555956,1.259250141,0
0.673455407,1.931268257,2.006929966,1.773986305,1.462111982,1.358621587,0
0.684463215,1.98621887,2.016165348,1.8171465,1.563936617,1.346594772,0
0.689535129,1.858754637,1.915133867,1.708322685,0.402678006,1.29322894,0
0.689777194,1.934952275,1.94469175,0.429110885,0.363112348,1.328599157,0
0.691137469,1.97790223,2.020247985,1.808371963,1.504656424,1.373351316,0
0.694885056,1.971191644,2.000901626,1.80989009,1.534033725,1.363755822,0
0.696616087,1.949798023,1.999486235,1.818191936,1.507061006,1.422182386,0
0.71992547,1.979313751,2.01434557,1.840893503,1.55532567,1.380394076,0
0.720429623,1.999377792,2.033840964,1.851201318,1.587029725,1.396379453,0
0.721686473,1.84235837,1.906518664,1.706817584,0.311183457,1.269179733,0
0.727606875,1.987074317,2.011031523,1.817263504,1.541800026,1.369710259,0
0.727957546,1.851756624,1.912122684,1.739047649,0.324580516,1.267611143,0
0.727957546,1.851756624,1.912122684,1.739047649,0.324580516,1.267611143,0
0.727957546,1.857719037,1.918708695,1.732186938,0.270972469,1.272382723,0
0.727957546,1.861130223,1.918708695,1.732186938,0.270972469,1.277321088,0
0.728656304,1.857690929,1.911072082,1.741135861,0.340190838,1.273879142,0
0.728722133,1.865663092,1.922874404,1.756510445,0.393760069,1.28300426,0
0.729098679,1.859367528,1.915678771,1.75794065,0.436168003,1.296139437,0
0.730125816,1.85529898,1.910058222,1.713835495,0.274555273,1.286266286,0
0.730678217,1.865317429,1.916375024,1.738742964,0.318897664,1.277153654,0
0.730837359,1.857873964,1.907662249,1.723803318,0.309239474,1.275575691,0
0.731995152,1.859527378,1.915302595,1.718541106,0.261938751,1.274244715,0
0.732551678,1.863525962,1.921630572,1.729387842,0.325984845,1.280656174,0
0.732932523,1.993712303,2.037552725,1.839473238,1.528392031,1.403949565,0
0.734494206,1.957777119,1.976241251,1.812525285,1.571592855,1.283756602,0
0.734726486,2.00891817,2.040735595,1.863482324,1.579178682,1.377955392,0
0.734824461,1.861130223,1.92066168,1.739359473,0.345824284,1.272568026,0
0.735081124,1.851756624,1.912122684,1.732499996,0.304102268,1.252961594,0
0.736100875,1.856178341,1.902389333,1.725839234,0.34225248,1.257469794,0
0.737031241,1.846046752,1.913199787,1.734938647,0.328690777,1.254924175,0
0.737761871,1.857873964,1.914192286,1.737079869,0.357514185,1.265921138,0
0.738277861,1.979313751,2.018293706,1.840617459,1.55532567,1.365714521,0
0.738946447,1.865434654,1.924819354,1.753192998,0.424209998,1.272501237,0
0.739174186,1.852207796,1.912370928,1.73058989,0.307041603,1.261361337,0
0.740686195,2.004430862,2.032035832,1.847638663,1.570780931,1.401611158,0
0.741871198,1.86223615,1.914628431,1.730030548,0.287865028,1.26591037,0
0.74194567,1.857719037,1.918708695,1.739359473,0.310926539,1.252961594,0
0.743234324,1.949798023,1.999486235,1.818191936,1.507061006,1.411547291,0
0.746377378,1.974208051,2.008978817,1.837595424,1.5754371,1.356051458,0
0.746630957,1.856103971,1.908913131,1.735000041,0.358493827,1.254728393,0
0.746787994,1.859524945,1.917444848,1.735000041,0.331294578,1.254728393,0
0.748558309,1.857719037,1.918708695,1.732499996,0.352643535,1.258126145,0
0.749161881,1.859773233,1.911256538,1.727797724,0.38976544,1.283655725,0
0.749970428,1.995826021,2.011764547,1.818210852,1.567048914,1.389916031,0
0.752195346,2.009829627,2.037552725,1.839473238,1.528392031,1.415561503,0
0.753118848,1.870257061,1.936166116,1.758641062,0.450909638,1.306054061,0
0.755379567,1.930413356,2.000427305,1.815413588,1.53032034,1.416508287,0
0.758090268,1.941362637,1.99297913,1.805026221,1.53811962,1.343677821,0
0.759103593,1.982196577,2.020452241,1.836026647,1.519166424,1.368493464,0
0.760623928,1.872948002,1.937739059,1.775014934,0.473321738,1.315850592,0
0.766277726,1.877501224,1.929328461,1.755705472,0.457720942,1.303457727,0
0.776469668,1.937959696,2,1.863423896,1.52931911,1.324561332,0
0.776631688,1.918743636,1.935722352,0.514921767,0.429218576,1.280440688,0
0.777067847,1.939808269,2.005636208,1.875635233,1.538288724,1.3059551,0
0.778436636,1.980837496,2.015784234,1.893655855,1.596953562,1.400010453,0
0.778736513,1.910008502,1.962109345,1.789644791,0.381647139,1.368605534,0
0.781213572,1.886160835,1.935292766,1.778085668,0.475358832,1.293703352,0
0.781824504,1.969869153,2.006929966,1.838049642,1.586701588,1.335897025,0
0.783673222,1.884475136,1.970327383,1.782082715,0.535827366,1.311323691,0
0.784504304,1.926029301,1.944340612,0.476276028,0.390798144,1.280440688,0
0.786039653,1.940520492,2.002858799,1.866246691,1.529528927,1.3283576,0
